Ret.Time, min	Absolute Intensity, A.U.	Relative Intensity
14.298	5737	0.03
14.303	6392	0.03
14.309	6335	0.03
14.314	5816	0.03
14.320	6265	0.03
14.325	6123	0.03
14.331	5590	0.03
14.336	6339	0.03
14.342	6409	0.03
14.347	6364	0.03
14.353	5741	0.03
14.358	5829	0.03
14.364	6209	0.03
14.369	5798	0.03
14.375	5871	0.03
14.380	5809	0.03
14.386	5837	0.03
14.391	5525	0.03
14.397	5745	0.03
14.402	6137	0.03
14.408	5610	0.03
14.413	5948	0.03
14.419	6273	0.03
14.424	6173	0.03
14.430	6061	0.03
14.435	5834	0.03
14.441	5757	0.03
14.446	5872	0.03
14.452	5929	0.03
14.457	6074	0.03
14.463	5862	0.03
14.468	5340	0.03
14.474	5477	0.03
14.479	5625	0.03
14.485	6086	0.03
14.490	5720	0.03
14.496	5753	0.03
14.501	5947	0.03
14.507	6450	0.03
14.512	5740	0.03
14.518	6461	0.03
14.523	6247	0.03
14.529	5596	0.03
14.534	5690	0.03
14.540	6264	0.03
14.545	5707	0.03
14.551	5951	0.03
14.556	5217	0.03
14.562	6357	0.03
14.567	6102	0.03
14.573	6437	0.03
14.578	6197	0.03
14.584	6285	0.03
14.589	5714	0.03
14.595	5913	0.03
14.600	6106	0.03
14.606	5967	0.03
14.611	5493	0.03
14.617	5487	0.03
14.622	5669	0.03
14.628	6038	0.03
14.633	5962	0.03
14.639	5853	0.03
14.644	5683	0.03
14.650	5969	0.03
14.655	6058	0.03
14.661	6310	0.03
14.666	5453	0.03
14.672	5429	0.03
14.677	6465	0.03
14.683	5769	0.03
14.688	5518	0.03
14.694	5558	0.03
14.699	6185	0.03
14.705	6200	0.03
14.710	6021	0.03
14.716	5854	0.03
14.721	6011	0.03
14.727	5958	0.03
14.732	5827	0.03
14.738	5894	0.03
14.743	5842	0.03
14.749	5920	0.03
14.754	5986	0.03
14.760	6226	0.03
14.765	5852	0.03
14.771	6114	0.03
14.776	5878	0.03
14.782	6157	0.03
14.787	5717	0.03
14.793	6377	0.03
14.798	5814	0.03
14.804	6017	0.03
14.809	5381	0.03
14.815	5455	0.03
14.820	5493	0.03
14.826	5706	0.03
14.831	6069	0.03
14.837	5929	0.03
14.842	5739	0.03
14.848	5309	0.03
14.853	5637	0.03
14.859	5643	0.03
14.864	5766	0.03
14.870	5451	0.03
14.875	5478	0.03
14.881	5516	0.03
14.886	5631	0.03
14.892	5972	0.03
14.897	5998	0.03
14.903	5929	0.03
14.908	5962	0.03
14.914	5981	0.03
14.919	6025	0.03
14.925	6055	0.03
14.930	5838	0.03
14.936	6023	0.03
14.941	5335	0.03
14.947	6021	0.03
14.952	5899	0.03
14.958	5219	0.03
14.963	6027	0.03
14.969	5288	0.03
14.974	5908	0.03
14.980	6028	0.03
14.985	5369	0.03
14.991	5924	0.03
14.996	5941	0.03
15.002	5940	0.03
15.007	5789	0.03
15.013	5600	0.03
15.018	5745	0.03
15.024	5794	0.03
15.029	6157	0.03
15.035	5904	0.03
15.040	6153	0.03
15.046	5982	0.03
15.051	5795	0.03
15.057	6228	0.03
15.062	5532	0.03
15.068	6020	0.03
15.073	5697	0.03
15.079	5962	0.03
15.084	5843	0.03
15.090	6025	0.03
15.095	5781	0.03
15.101	5516	0.03
15.106	5496	0.03
15.112	5858	0.03
15.117	5543	0.03
15.123	5664	0.03
15.128	5723	0.03
15.134	6229	0.03
15.139	5757	0.03
15.145	6242	0.03
15.150	6051	0.03
15.156	5700	0.03
15.161	5930	0.03
15.167	5345	0.03
15.172	5802	0.03
15.178	5540	0.03
15.183	5870	0.03
15.189	6256	0.03
15.194	5873	0.03
15.200	5667	0.03
15.205	6242	0.03
15.211	6503	0.03
15.216	6049	0.03
15.222	6131	0.03
15.227	5485	0.03
15.233	6004	0.03
15.238	5963	0.03
15.244	6098	0.03
15.249	5472	0.03
15.255	5996	0.03
15.260	6224	0.03
15.266	5823	0.03
15.271	5685	0.03
15.277	5554	0.03
15.282	5757	0.03
15.288	6221	0.03
15.293	5942	0.03
15.299	5953	0.03
15.304	5898	0.03
15.310	5739	0.03
15.315	5656	0.03
15.321	6400	0.03
15.326	5920	0.03
15.332	5707	0.03
15.337	6032	0.03
15.343	6201	0.03
15.348	5698	0.03
15.354	5699	0.03
15.359	6054	0.03
15.365	5586	0.03
15.370	6069	0.03
15.376	5605	0.03
15.381	5840	0.03
15.387	5898	0.03
15.392	5880	0.03
15.398	5748	0.03
15.403	5867	0.03
15.409	6311	0.03
15.414	5719	0.03
15.420	6304	0.03
15.425	5464	0.03
15.431	6101	0.03
15.436	5786	0.03
15.442	5733	0.03
15.447	5901	0.03
15.453	5272	0.03
15.458	5853	0.03
15.464	6152	0.03
15.469	5491	0.03
