#Time,"P(t), Reactive, bar","P'(t), Reactive, bar/ms","P(t), Non-Reactive, bar"
-27.2300000,3.2554000,0.1435700,3.2756000
-27.2200000,3.2538000,0.1435700,3.2677000
-27.2100000,3.2586000,0.0000015,3.2693000
-27.2000000,3.2586000,0.0159530,3.2693000
-27.1900000,3.2602000,-0.0797640,3.2709000
-27.1800000,3.2554000,0.0638100,3.2725000
-27.1700000,3.2538000,0.0319040,3.2693000
-27.1600000,3.2570000,0.1116700,3.2709000
-27.1500000,3.2618000,0.1754800,3.2709000
-27.1400000,3.2634000,0.1754800,3.2709000
-27.1300000,3.2618000,0.0638100,3.2677000
-27.1200000,3.2618000,-0.0638100,3.2677000
-27.1100000,3.2634000,0.0159520,3.2661000
-27.1000000,3.2634000,0.0478580,3.2693000
-27.0900000,3.2618000,0.1116700,3.2725000
-27.0800000,3.2634000,0.0319060,3.2725000
-27.0700000,3.2650000,0.2073800,3.2725000
-27.0600000,3.2682000,-0.0159530,3.2740000
-27.0500000,3.2666000,-0.0319070,3.2740000
-27.0400000,3.2682000,-0.1276200,3.2740000
-27.0300000,3.2618000,-0.1276200,3.2756000
-27.0200000,3.2618000,-0.1914300,3.2804000
-27.0100000,3.2618000,-0.0159540,3.2820000
-27.0000000,3.2602000,0.0478580,3.2852000
-26.9900000,3.2618000,0.0319050,3.2868000
-26.9800000,3.2618000,-0.0319050,3.2852000
-26.9700000,3.2634000,-0.1276200,3.2884000
-26.9600000,3.2618000,-0.1116700,3.2932000
-26.9500000,3.2570000,-0.1754800,3.2948000
-26.9400000,3.2554000,-0.1435700,3.2964000
-26.9300000,3.2554000,-0.1276200,3.2996000
-26.9200000,3.2554000,0.0159520,3.3028000
-26.9100000,3.2554000,-0.1276200,3.3044000
-26.9000000,3.2523000,-0.1116700,3.3044000
-26.8900000,3.2538000,-0.2073900,3.3012000
-26.8800000,3.2491000,-0.0478580,3.2996000
-26.8700000,3.2491000,-0.2073900,3.2980000
-26.8600000,3.2475000,0.1435700,3.3012000
-26.8500000,3.2491000,0.0957170,3.3012000
-26.8400000,3.2491000,0.0957160,3.2996000
-26.8300000,3.2554000,0.1116700,3.2996000
-26.8200000,3.2538000,0.1116700,3.2996000
-26.8100000,3.2523000,-0.0638090,3.2996000
-26.8000000,3.2538000,0.0159530,3.3012000
-26.7900000,3.2523000,0.0638110,3.2964000
-26.7800000,3.2538000,0.0159530,3.2964000
-26.7700000,3.2554000,0.1914300,3.2932000
-26.7600000,3.2554000,0.1116700,3.2852000
-26.7500000,3.2570000,0.0957160,3.2820000
-26.7400000,3.2602000,0.0159520,3.2804000
-26.7300000,3.2586000,0.0319030,3.2804000
-26.7200000,3.2586000,-0.1914300,3.2788000
-26.7100000,3.2554000,-0.0638090,3.2772000
-26.7000000,3.2554000,-0.1754800,3.2788000
-26.6900000,3.2523000,-0.1116700,3.2788000
-26.6800000,3.2538000,-0.1276200,3.2740000
-26.6700000,3.2507000,-0.1914300,3.2740000
-26.6600000,3.2491000,-0.3350000,3.2740000
-26.6500000,3.2475000,-0.1754800,3.2740000
-26.6400000,3.2411000,-0.2552400,3.2756000
-26.6300000,3.2395000,-0.2392900,3.2740000
-26.6200000,3.2411000,-0.0159530,3.2756000
-26.6100000,3.2379000,0.0797620,3.2709000
-26.6000000,3.2395000,-0.0797650,3.2677000
-26.5900000,3.2411000,-0.0000005,3.2709000
-26.5800000,3.2411000,-0.0478600,3.2709000
-26.5700000,3.2379000,-0.2073900,3.2725000
-26.5600000,3.2363000,-0.1435700,3.2756000
-26.5500000,3.2347000,-0.2392900,3.2756000
-26.5400000,3.2315000,-0.1435700,3.2740000
-26.5300000,3.2331000,-0.0478560,3.2756000
-26.5200000,3.2283000,0.1435800,3.2756000
-26.5100000,3.2315000,-0.0797640,3.2756000
-26.5000000,3.2347000,0.1914300,3.2709000
-26.4900000,3.2363000,0.1276200,3.2709000
-26.4800000,3.2331000,0.0159520,3.2740000
-26.4700000,3.2363000,0.0319050,3.2756000
-26.4600000,3.2363000,0.1754800,3.2725000
-26.4500000,3.2363000,0.0159530,3.2693000
-26.4400000,3.2395000,0.0797650,3.2661000
-26.4300000,3.2395000,0.0478600,3.2661000
-26.4200000,3.2379000,-0.0159510,3.2661000
-26.4100000,3.2395000,0.0000005,3.2693000
-26.4000000,3.2379000,0.1116700,3.2725000
-26.3900000,3.2395000,0.0319050,3.2725000
-26.3800000,3.2411000,0.1435700,3.2709000
-26.3700000,3.2427000,0.0797650,3.2725000
-26.3600000,3.2427000,0.0797650,3.2725000
-26.3500000,3.2443000,0.2711900,3.2756000
-26.3400000,3.2443000,0.1435700,3.2725000
-26.3300000,3.2475000,0.1276200,3.2725000
-26.3200000,3.2538000,0.0319040,3.2740000
-26.3100000,3.2491000,0.0957160,3.2756000
-26.3000000,3.2491000,-0.1754800,3.2772000
-26.2900000,3.2459000,0.0478580,3.2772000
-26.2800000,3.2491000,0.0319040,3.2788000
-26.2700000,3.2491000,0.2552400,3.2788000
-26.2600000,3.2523000,0.1595300,3.2788000
-26.2500000,3.2538000,0.1914300,3.2804000
-26.2400000,3.2570000,0.1276200,3.2836000
-26.2300000,3.2570000,0.0957140,3.2868000
-26.2200000,3.2570000,-0.0319050,3.2868000
-26.2100000,3.2570000,-0.2233400,3.2868000
-26.2000000,3.2554000,-0.2392900,3.2852000
-26.1900000,3.2523000,-0.2233400,3.2868000
-26.1800000,3.2459000,-0.1754800,3.2900000
-26.1700000,3.2459000,-0.0638120,3.2916000
-26.1600000,3.2475000,0.0638100,3.2916000
-26.1500000,3.2491000,-0.0478580,3.2916000
-26.1400000,3.2507000,0.0000010,3.2948000
-26.1300000,3.2475000,-0.0159520,3.2932000
-26.1200000,3.2443000,-0.0159500,3.2932000
-26.1100000,3.2475000,0.1116700,3.2948000
-26.1000000,3.2491000,0.2073800,3.2948000
-26.0900000,3.2523000,0.1116700,3.2948000
-26.0800000,3.2538000,0.0159520,3.2964000
-26.0700000,3.2523000,-0.1116700,3.2948000
-26.0600000,3.2507000,-0.1914300,3.2980000
-26.0500000,3.2475000,-0.0797630,3.2996000
-26.0400000,3.2459000,-0.1435700,3.2996000
-26.0300000,3.2459000,-0.0957160,3.2980000
-26.0200000,3.2475000,-0.1435700,3.2964000
-26.0100000,3.2443000,-0.0000010,3.2948000
-26.0000000,3.2427000,-0.0319070,3.2916000
-25.9900000,3.2411000,0.0319050,3.2916000
-25.9800000,3.2459000,0.1276200,3.2916000
-25.9700000,3.2475000,0.1595300,3.2884000
-25.9600000,3.2475000,0.0478580,3.2868000
-25.9500000,3.2491000,0.0797630,3.2836000
-25.9400000,3.2475000,0.1276200,3.2836000
-25.9300000,3.2491000,0.0957150,3.2884000
-25.9200000,3.2523000,0.2392900,3.2852000
-25.9100000,3.2538000,0.0957140,3.2836000
-25.9000000,3.2554000,0.1276200,3.2852000
-25.8900000,3.2570000,0.0159520,3.2868000
-25.8800000,3.2538000,0.0957160,3.2836000
