,690K,,728K,,759K,,854K,,866K,,899K
34.4,47.403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.526,47.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.7,47.362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.806,47.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.093,47.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.2,47.352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.4,47.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.564,47.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.7,47.332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.812,47.326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.999,47.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,47.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.121,47.324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.295,47.299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.4,47.281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.521,47.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.696,47.281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.8,47.267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.979,47.262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.103,47.267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.298,47.254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.439,47.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.6,47.247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.799,47.216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.9,47.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.001,47.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.199,47.199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.301,47.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.4,47.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.576,47.197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.891,47.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.065,47.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.199,47.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.2,47.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.33,47.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.5,47.149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.606,47.146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.8,47.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.9,47.159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,47.139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.195,47.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.302,47.142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.5,47.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.687,47.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.8,47.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.987,47.079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.105,47.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.386,47.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.6,47.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.789,47.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.908,47.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.1,47.048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.265,47.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.4,47.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.775,47.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.919,47.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.032,47.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.2,47.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.327,47.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.5,47.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.671,46.988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.798,46.984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.9,46.987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,46.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.102,46.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.26,46.966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.41,46.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.598,46.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.699,46.953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.8,46.954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.956,46.933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.101,46.933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.299,46.917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.595,46.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.6,46.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.771,46.908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.001,46.877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.242,46.877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.4,46.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.517,46.857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.699,46.856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.801,46.836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.918,46.832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.101,46.846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.2,46.843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.351,46.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.515,46.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.686,46.821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.803,46.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.99,46.793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,46.793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.142,46.805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.3,46.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.5,46.786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.7,46.776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.8,46.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.917,46.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.098,46.743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.2,46.733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.4,46.746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.6,46.739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.851,46.726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,46.709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.116,46.707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.335,46.707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.4,46.696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.519,46.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.701,46.716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.863,46.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.026,46.682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.2,46.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.309,46.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.501,46.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.697,46.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.839,46.642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,46.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
