,690K,,729K,,742K,,761K,,777K,,797K,,815K,,840K,,867K,,893K
-18.199,5.5399,-18.7,4.4302,-19.1,4.1038,-18.902,3.8708,-18.9,3.5906,-18.826,3.303,-19.589,2.9551,-18.778,2.7575,-18.4,2.5258,-18.802,2.2273
-18.099,5.5798,-18.605,4.4574,-19,4.1261,-18.801,3.8806,-18.8,3.6161,-18.739,3.3128,-19.5,2.9679,-18.679,2.783,-18.299,2.5307,-18.712,2.2334
-18,5.6368,-18.534,4.4715,-19,4.1261,-18.77,3.8874,-18.706,3.6447,-18.6,3.3208,-19.4,2.9885,-18.513,2.8175,-18.2,2.5418,-18.604,2.2372
-17.903,5.6757,-18.5,4.4781,-18.895,4.1466,-18.659,3.9115,-18.612,3.659,-18.556,3.3278,-19.302,3.012,-18.5,2.8202,-18.119,2.5612,-18.546,2.2451
-17.802,5.7048,-18.398,4.5058,-18.78,4.1782,-18.553,3.9275,-18.502,3.6718,-18.5,3.3368,-19.222,3.025,-18.396,2.8266,-18.019,2.5875,-18.5,2.2517
-17.701,5.7385,-18.251,4.5464,-18.612,4.2263,-18.5,3.9318,-18.5,3.672,-18.4,3.3638,-19.1,3.0445,-18.298,2.8284,-18,2.5928,-18.399,2.2725
-17.601,5.7626,-18.189,4.5612,-18.569,4.2363,-18.4,3.9478,-18.4,3.68,-18.3,3.3926,-19,3.054,-18.2,2.8457,-17.9,2.6104,-18.3,2.2917
-17.502,5.7939,-18.058,4.6015,-18.5,4.2506,-18.301,3.9793,-18.3,3.6959,-18.2,3.4309,-18.9,3.0701,-18.1,2.8569,-17.801,2.6215,-18.2,2.3123
-17.416,5.8297,-18,4.62,-18.4,4.2698,-18.216,4.0024,-18.2,3.7166,-18.1,3.45,-18.8,3.0891,-18,2.8759,-17.7,2.6279,-18.126,2.3217
-17.327,5.87,-17.9,4.6408,-18.3,4.2937,-18.175,4.0096,-18.102,3.754,-18,3.4612,-18.699,3.0989,-18,2.876,-17.602,2.6452,-18.086,2.3251
-17.258,5.8998,-17.784,4.6683,-18.2,4.3049,-18.098,4.0185,-18.066,3.7657,-17.904,3.4826,-18.6,3.1147,-17.903,2.9086,-17.557,2.657,-18,2.3251
-17.179,5.9345,-17.695,4.6882,-18.1,4.3224,-18,4.0466,-18,3.7868,-17.807,3.4939,-18.5,3.1195,-17.806,2.9275,-17.5,2.6726,-17.9,2.3315
-17.096,5.975,-17.589,4.7178,-18.007,4.3535,-17.9,4.0865,-17.9,3.8012,-17.706,3.5096,-18.401,3.1337,-17.704,2.941,-17.403,2.6957,-17.854,2.3423
-17,6.0118,-17.5,4.7476,-18,4.3559,-17.804,4.1066,-17.803,3.8198,-17.67,3.5181,-18.331,3.157,-17.617,2.9559,-17.356,2.705,-17.753,2.3599
-16.9,6.0405,-17.4,4.7779,-17.9,4.399,-17.702,4.1291,-17.7,3.8395,-17.5,3.5457,-18.295,3.1681,-17.54,2.9714,-17.235,2.726,-17.678,2.3687
-16.802,6.0843,-17.312,4.8129,-17.8,4.4485,-17.601,4.1534,-17.6,3.8777,-17.4,3.5394,-18.2,3.1833,-17.5,2.9797,-17.102,2.741,-17.598,2.383
-16.742,6.1018,-17.256,4.8313,-17.704,4.4714,-17.518,4.1614,-17.507,3.9075,-17.3,3.5569,-18.1,3.2072,-17.4,2.9989,-17.059,2.7484,-17.5,2.4049
-16.682,6.1208,-17.173,4.8503,-17.632,4.4789,-17.5,4.1632,-17.5,3.9097,-17.2,3.6,-18.002,3.2354,-17.3,3.0196,-17,2.7587,-17.4,2.4288
-16.598,6.1532,-17.069,4.8671,-17.512,4.4946,-17.402,4.1977,-17.4,3.9225,-17.096,3.6427,-18,3.2359,-17.211,3.0453,-16.9,2.7906,-17.3,2.4495
-16.499,6.2069,-17,4.8912,-17.5,4.4963,-17.367,4.2135,-17.306,3.9524,-17,3.6733,-17.898,3.2522,-17.13,3.0663,-16.873,2.7968,-17.2,2.4607
-16.396,6.2578,-16.902,4.9429,-17.4,4.5139,-17.284,4.2484,-17.248,3.9684,-16.9,3.699,-17.799,3.2681,-17.057,3.0827,-16.796,2.8137,-17.1,2.475
-16.299,6.3027,-16.811,4.9682,-17.3,4.5538,-17.181,4.2738,-17.178,3.9858,-16.8,3.7276,-17.679,3.3025,-17,3.0946,-16.699,2.8308,-17.011,2.4964
-16.199,6.355,-16.7,4.9982,-17.2,4.5904,-17.06,4.3093,-17.093,4.0023,-16.7,3.7515,-17.518,3.3501,-16.9,3.1042,-16.508,2.8543,-17,2.499
-16.098,6.4003,-16.6,5.0205,-17.101,4.6063,-17,4.3274,-17,4.0246,-16.601,3.7846,-17.5,3.3556,-16.8,3.1153,-16.5,2.8545,-16.9,2.5277
-16,6.4425,-16.5,5.054,-17.06,4.6221,-16.9,4.3562,-16.9,4.0438,-16.543,3.7995,-17.4,3.3747,-16.703,3.1447,-16.399,2.8531,-16.825,2.5325
-15.898,6.4879,-16.5,5.054,-17,4.6462,-16.798,4.3757,-16.809,4.0728,-16.5,3.8106,-17.3,3.3779,-16.599,3.1633,-16.3,2.8801,-16.721,2.5341
-15.799,6.5323,-16.4,5.0971,-16.9,4.6878,-16.7,4.3961,-16.7,4.1075,-16.4,3.8249,-17.268,3.3854,-16.5,3.1775,-16.2,2.9183,-16.672,2.5382
-15.7,6.5815,-16.3,5.1451,-16.8,4.71,-16.6,4.4296,-16.602,4.1357,-16.299,3.8426,-17.102,3.4207,-16.4,3.1983,-16.107,2.945,-16.597,2.549
-15.599,6.6409,-16.2,5.1912,-16.7,4.7515,-16.501,4.4565,-16.501,4.1631,-16.2,3.8616,-17.032,3.4308,-16.3,3.224,-16.049,2.9544,-16.5,2.5708
-15.5,6.6994,-16.1,5.2166,-16.603,4.7779,-16.5,4.4567,-16.5,4.1634,-16.1,3.8936,-17,3.4353,-16.2,3.2606,-16,2.9614,-16.402,2.5973
-15.4,6.741,-16.01,5.2554,-16.501,4.8023,-16.4,4.4901,-16.4,4.1953,-16,3.9223,-16.9,3.4656,-16.1,3.2923,-15.9,2.9774,-16.333,2.614
-15.3,6.7857,-16,5.2598,-16.5,4.8026,-16.3,4.5267,-16.324,4.2256,-15.9,3.9557,-16.802,3.4829,-16.001,3.3193,-15.8,2.9981,-16.212,2.6442
-15.2,6.835,-15.9,5.3013,-16.4,4.8456,-16.217,4.5467,-16.201,4.2748,-15.802,3.9964,-16.7,3.4991,-16,3.3196,-15.7,3.0316,-16.164,2.6554
-15.1,6.8922,-15.8,5.3236,-16.3,4.8824,-16.183,4.5577,-16.101,4.3082,-15.745,4.0164,-16.646,3.5145,-15.896,3.349,-15.602,3.0707,-16.098,2.6699
-15.003,6.937,-15.702,5.3596,-16.2,4.9256,-16.088,4.5973,-16.026,4.3286,-15.689,4.035,-16.545,3.5444,-15.777,3.3726,-15.543,3.0779,-16,2.6793
-15,6.9386,-15.601,5.4153,-16.1,4.9653,-16,4.6322,-16,4.3357,-15.588,4.0611,-16.5,3.5582,-15.684,3.3892,-15.5,3.0827,-15.887,2.6937
-14.9,6.9867,-15.5,5.4656,-16.001,4.9907,-15.893,4.6651,-15.9,4.3628,-15.5,4.085,-16.402,3.591,-15.588,3.4143,-15.4,3.089,-15.799,2.705
-14.798,7.0611,-15.4,5.5055,-16,4.9909,-15.785,4.7022,-15.8,4.3994,-15.4,4.1248,-16.305,3.6189,-15.5,3.4312,-15.352,3.106,-15.69,2.7353
-14.7,7.1272,-15.299,5.541,-15.9,5.0148,-15.692,4.7313,-15.7,4.425,-15.339,4.1538,-16.222,3.6404,-15.4,3.46,-15.275,3.1341,-15.599,2.7657
-14.59,7.1812,-15.199,5.5778,-15.802,5.0463,-15.596,4.7706,-15.606,4.4402,-15.208,4.2049,-16.105,3.6641,-15.3,3.4966,-15.1,3.1975,-15.5,2.7894
-14.497,7.2293,-15.079,5.6454,-15.716,5.0789,-15.5,4.7981,-15.5,4.4809,-15.126,4.2195,-16.07,3.6736,-15.208,3.5128,-15.039,3.2112,-15.401,2.8099
-14.375,7.3073,-15,5.6858,-15.645,5.1086,-15.4,4.8316,-15.5,4.4809,-15.069,4.2354,-16,3.6939,-15.156,3.5259,-15,3.2198,-15.306,2.8266
-14.284,7.3668,-14.9,5.7146,-15.553,5.1469,-15.303,4.8767,-15.399,4.5341,-15,4.2621,-15.902,3.7409,-15.099,3.5416,-14.9,3.2358,-15.2,2.8531
-14.184,7.44,-14.799,5.7643,-15.5,5.168,-15.255,4.8952,-15.3,4.5895,-14.9,4.3003,-15.856,3.7583,-15,3.5844,-14.8,3.2724,-15.111,2.8802
-14.094,7.5015,-14.7,5.8166,-15.401,5.2169,-15.187,4.9218,-15.202,4.627,-14.8,4.3353,-15.711,3.7914,-14.902,3.6189,-14.729,3.2916,-15.001,2.915
