Time       Trigger  Sample
-0.00015    0.10    6.44
-0.00014    0.10    6.48
-0.00013    0.12    6.44
-0.00012    0.10    6.48
-0.00011    0.12    6.48
-0.00010    0.12    6.48
-0.00009    0.10    6.44
-0.00008    0.10    6.44
-0.00007    0.10    6.48
-0.00006    0.10    6.44
-0.00005    0.10    6.44
-0.00004    0.08    6.48
-0.00003    0.10    6.44
-0.00002    0.10    6.44
-0.00001    0.10    6.44
00.00000    4.34    6.48
00.00001    4.34    6.44
00.00002    4.34    6.44
00.00003    4.34    6.48
00.00004    4.34    6.44
00.00005    4.34    6.48
00.00006    4.34    6.48
00.00007    4.34    6.48
00.00008    4.34    6.44
00.00009    4.34    6.48
00.00010    4.34    6.44
00.00011    4.34    6.48
00.00012    4.34    6.44
00.00013    4.34    6.48
00.00014    4.34    6.44
00.00015    4.34    6.48
00.00016    4.34    6.44
00.00017    4.34    6.44
00.00018    4.34    6.44
00.00019    4.34    6.48
00.00020    4.34    6.48
00.00021    4.34    6.48
00.00022    4.34    6.48
00.00023    4.34    6.44
00.00024    4.34    6.48
00.00025    4.34    6.44
00.00026    4.34    6.44
00.00027    4.34    6.48
00.00028    4.34    6.48
00.00029    4.34    6.44
00.00030    4.34    6.44
00.00031    4.34    6.48
00.00032    4.34    6.48
00.00033    4.34    6.48
00.00034    4.34    6.44
00.00035    4.34    6.44
00.00036    4.34    6.48
00.00037    4.34    6.44
00.00038    4.34    6.48
00.00039    4.34    6.48
00.00040    4.34    6.48
00.00041    4.34    6.48
00.00042    4.34    6.48
00.00043    4.34    6.48
00.00044    4.34    6.44
00.00045    4.34    6.48
00.00046    4.34    6.44
00.00047    4.34    6.44
00.00048    4.34    6.44
00.00049    4.34    6.44
00.00050    4.34    6.48
00.00051    4.34    6.48
00.00052    4.34    6.44
00.00053    4.34    6.48
00.00054    4.34    6.44
00.00055    4.34    6.44
00.00056    4.34    6.44
00.00057    4.34    6.44
00.00058    4.34    6.44
00.00059    4.34    6.44
00.00060    4.34    6.48
00.00061    4.34    6.48
00.00062    4.34    6.48
00.00063    4.34    6.44
00.00064    4.34    6.48
00.00065    4.34    6.44
00.00066    4.34    6.48
00.00067    4.34    6.44
00.00068    4.34    6.48
00.00069    4.34    6.44
